CombinedDate,TS,PRECTOTCORR,WS10M
8/1/2021,27.35,57.22,1.9
9/1/2021,27.03,27.89,1.72
10/1/2021,26.83,11.59,1.52
11/1/2021,27.13,13.85,1.55
12/1/2021,27.07,12.41,1.7
13/01/2021,27.25,10.56,1.5
14/01/2021,27.26,0.46,1.13
15/01/2021,27.08,0.32,1.88
16/01/2021,26.75,1.74,1.94
17/01/2021,26.85,8.05,2.02
18/01/2021,26.42,6.67,2.4
19/01/2021,27.08,0.92,2
20/01/2021,27.2,1.33,1.84
21/01/2021,27.29,3.55,1.92
22/01/2021,26.88,4.27,1.68
23/01/2021,26.72,2.82,2.1
24/01/2021,27.12,5.74,1.97
25/01/2021,26.89,13.41,2.2
26/01/2021,26.46,5.21,1.72
27/01/2021,26.72,15.48,1.63
28/01/2021,26.72,9.31,2.23
29/01/2021,26.95,5.95,1.55
30/01/2021,26.95,9.9,1.47
31/01/2021,27.37,8.84,1.74
1/2/2021,27.15,9.4,1.82
2/2/2021,26.85,10.07,1.05
3/2/2021,26.45,7.14,2.27
4/2/2021,26.89,8.61,1.72
5/2/2021,27.71,4.3,1.76
6/2/2021,27.85,2.72,2.01
7/2/2021,27.83,3.01,1.79
8/2/2021,27.92,3.8,1.18
9/2/2021,27.69,1.3,1.51
10/2/2021,27.69,1.03,1.32
11/2/2021,27.65,0.93,1.53
12/2/2021,27.75,1.03,1.54
13/02/2021,28.01,3.06,2.22
14/02/2021,27.65,11.19,2.55
15/02/2021,27.69,0.51,2.11
16/02/2021,27.45,2.76,2.76
17/02/2021,27.91,3.1,2.38
18/02/2021,27.44,9.29,1.9
19/02/2021,27.33,4.77,1.77
20/02/2021,26.87,2.55,1.73
21/02/2021,27.98,1.91,1.98
22/02/2021,27.87,6.54,2.19
23/02/2021,27.55,17.33,2.98
24/02/2021,27.45,6.41,2.76
25/02/2021,27.32,4.65,2.98
26/02/2021,27.01,9.68,4.63
27/02/2021,27.47,4.08,2.95
28/02/2021,27.6,1.48,2.33
1/3/2021,27.41,15.1,2.06
2/3/2021,27.4,36.38,2.25
3/3/2021,27.26,10.73,2.05
4/3/2021,27.86,3.38,1.62
5/3/2021,27.63,10.28,1.75
6/3/2021,27.05,51.69,3.76
7/3/2021,26.69,41.27,2.1
8/3/2021,26.91,0.79,1.42
9/3/2021,27.47,11.82,1.44
10/3/2021,27.68,7.74,2.24
11/3/2021,27.21,21.06,1.84
12/3/2021,27.18,30.89,2.53
13/03/2021,27.31,6.31,1.84
14/03/2021,27.1,18.73,0.92
15/03/2021,27.4,4.99,1.57
16/03/2021,26.91,13.76,2.63
17/03/2021,27.03,4.67,1.65
18/03/2021,27.33,3.31,1.5
19/03/2021,27.01,5.48,2.17
20/03/2021,26.83,73.54,3.23
21/03/2021,27.08,9.8,2.3
22/03/2021,26.97,49.92,1.68
23/03/2021,27.27,23.61,1.54
24/03/2021,27.19,22.1,1.24
25/03/2021,26.99,27.43,1.72
26/03/2021,27.55,59.17,1.88
27/03/2021,27.1,15.02,2.77
28/03/2021,27.26,2.93,2.09
29/03/2021,26.67,19.59,2.42
30/03/2021,27.13,7.56,3.82
31/03/2021,26.65,45.86,4.96
1/4/2021,26.72,4.81,4.04
2/4/2021,26.21,4.39,4.45
3/4/2021,26.24,20.03,4.24
4/4/2021,26.65,7.8,4.44
5/4/2021,26.57,5,2.31
6/4/2021,26.8,7.14,2
7/4/2021,27.05,5.33,1.66
8/4/2021,27.14,5.94,2.31
9/4/2021,27.15,8.01,2.01
10/4/2021,27.65,6.32,1.48
11/4/2021,27.54,10.16,2.01
12/4/2021,27.45,10.02,1.62
13/04/2021,27.41,5.73,1.65
14/04/2021,26.9,5.19,0.91
15/04/2021,27.25,1.68,1.71
16/04/2021,27.29,3.67,2.02
17/04/2021,26.91,28.87,1.55
18/04/2021,27.41,2.44,1.59
19/04/2021,27.32,5.51,2.16
20/04/2021,27.59,1.39,1.68
21/04/2021,27.61,13.37,1.8
22/04/2021,26.8,28.08,2.24
23/04/2021,27.07,6.34,1.3
24/04/2021,27.42,11.38,1.47
25/04/2021,27.58,5.97,1.46
26/04/2021,27.47,8.15,1.95
27/04/2021,27,37.3,2.58
28/04/2021,27.47,9.49,1.91
29/04/2021,27.43,8.9,1.88
30/04/2021,27.41,25.01,1.73
1/5/2021,27.79,8.62,1.46
2/5/2021,27.76,5.49,1.73
3/5/2021,27.99,2.83,1.47
4/5/2021,27.69,22.9,1.48
5/5/2021,27.45,19.52,2.15
6/5/2021,27.36,14.41,2.04
7/5/2021,27.73,9.11,1.68
8/5/2021,27.86,7.59,0.91
9/5/2021,27.87,7.37,1.16
10/5/2021,27.95,9.16,1.74
11/5/2021,27.58,51.02,3
12/5/2021,27.61,22.37,2.52
13/05/2021,27.99,11.65,1.36
14/05/2021,27.62,36.82,1.98
15/05/2021,27.49,12.58,1.38
16/05/2021,27.6,15.92,2.55
17/05/2021,27.3,30.35,2.72
18/05/2021,27.32,12.17,2.3
19/05/2021,27.47,0.06,1.77
20/05/2021,27.66,0.15,1.94
21/05/2021,27.55,1.25,1.51
22/05/2021,27.33,0.74,1.59
23/05/2021,27.91,0.91,1.7
24/05/2021,27.73,3.61,1.73
25/05/2021,27.97,1.53,1.75
26/05/2021,27.67,49.53,2.59
27/05/2021,27.76,5.5,1.51
28/05/2021,27.6,17.55,3.04
29/05/2021,27.51,15.48,1.38
30/05/2021,27.51,15.5,2.12
31/05/2021,27.31,5.64,2.55
1/6/2021,27.39,1.21,1.59
2/6/2021,27.74,2.75,1.98
3/6/2021,27.51,18.87,2.62
4/6/2021,27.11,15.3,2.23
5/6/2021,26.91,11.72,2.16
6/6/2021,27.2,0.14,1.46
7/6/2021,27.23,1,1.82
8/6/2021,26.91,10.67,1.45
9/6/2021,27.12,2.65,1.12
10/6/2021,27.17,1.89,1.68
11/6/2021,27.15,1.33,1.69
12/6/2021,27.27,6.1,2.56
13/06/2021,27.13,3.13,1.56
14/06/2021,27.61,3.66,1.34
15/06/2021,27.27,13.78,1.49
16/06/2021,26.85,5.03,1.27
17/06/2021,26.87,1.61,1.81
18/06/2021,27.09,1.04,1.35
19/06/2021,26.98,1.46,1.08
20/06/2021,26.87,4.4,1.8
21/06/2021,26.66,12.14,2.3
22/06/2021,26.34,13.16,4.55
23/06/2021,26.58,2.14,3.08
24/06/2021,27.13,0.42,1.72
25/06/2021,27.28,6.4,1.88
26/06/2021,26.58,46.85,3.78
27/06/2021,26.89,1.92,1.75
28/06/2021,27.05,2.67,2.53
29/06/2021,26.37,66.71,4.58
30/06/2021,26.8,0.49,1.8
1/7/2021,27.17,0.6,1.17
2/7/2021,27.31,4.56,1.21
3/7/2021,26.9,6.07,2.72
4/7/2021,26.57,9.78,1.95
5/7/2021,26.44,18.51,2.77
6/7/2021,26.45,13.09,1.98
7/7/2021,26.55,1.76,1.45
8/7/2021,26.88,2.11,1.36
9/7/2021,27.03,6.32,1.53
10/7/2021,26.72,6.95,1.8
11/7/2021,27.11,16.01,2.02
12/7/2021,26.51,25.27,4.12
13/07/2021,26.26,3.42,2.13
14/07/2021,26.47,0.16,1.83
15/07/2021,26.68,0.57,1.68
16/07/2021,26.63,0.26,1.42
17/07/2021,27.01,0.26,1.23
18/07/2021,27.12,3.86,1.7
19/07/2021,26.98,4.99,2.22
20/07/2021,27.09,1,1.37
21/07/2021,26.85,2.16,1.73
22/07/2021,27.06,2.3,1.53
23/07/2021,27.05,2.33,1.78
24/07/2021,27.16,1.37,1.6
25/07/2021,27.4,0.2,1.17
26/07/2021,27.54,0.63,1.45
27/07/2021,27.61,1.24,1.39
28/07/2021,27.22,2.4,2.44
29/07/2021,27.09,4.93,1.8
